iter	Passed	Remaining
0	2	282
1	5	281
2	8	271
3	10	251
4	12	241
5	14	230
6	16	223
7	18	214
8	20	205
9	21	196
10	23	190
11	25	183
12	26	175
13	27	169
14	28	163
15	30	158
16	31	152
17	32	147
18	33	143
19	34	138
20	35	134
21	36	130
22	37	126
23	38	122
24	39	119
25	40	116
26	41	112
27	42	109
28	43	107
29	44	104
30	45	101
31	46	98
32	47	96
33	48	93
34	49	91
35	50	89
36	51	87
37	52	84
38	53	82
39	53	80
40	54	78
41	55	76
42	56	74
43	57	72
44	57	70
45	58	68
46	59	67
47	60	65
48	61	63
49	61	61
50	62	60
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	77	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
